co2,co2_per_capita,oil_co2,oil_co2_per_capita,co2_growth_prct,co2_growth_abs,cumulative_co2,cumulative_oil_co2,share_global_co2,share_global_oil_co2,share_global_cumulative_co2,share_global_cumulative_oil_co2,population
0.524,8.013,0.524,8.013,2.14,0.011,4.91,4.91,0.0,0.01,0.0,0.0,65390.0
0.524,7.78,0.524,7.78,0.0,0.0,5.434,5.434,0.0,0.01,0.0,0.0,67344.0
0.531,7.584,0.531,7.584,1.4,0.007,5.965,5.965,0.0,0.01,0.0,0.0,70048.0
0.535,7.31,0.535,7.31,0.69,0.004,6.5,6.5,0.0,0.01,0.0,0.0,73180.0
0.561,7.352,0.561,7.352,4.79,0.026,7.061,7.061,0.0,0.01,0.0,0.0,76250.0
0.575,7.294,0.575,7.294,2.61,0.015,7.636,7.636,0.0,0.01,0.0,0.0,78871.0
0.546,6.74,0.546,6.74,-5.1,-0.029,8.182,8.182,0.0,0.0,0.0,0.0,80995.0
0.539,6.514,0.539,6.514,-1.34,-0.007,8.72,8.72,0.0,0.0,0.0,0.0,82682.0
0.539,6.423,0.539,6.423,0.0,0.0,9.259,9.259,0.0,0.0,0.0,0.0,83860.0
0.517,6.117,0.517,6.117,-4.08,-0.022,9.776,9.776,0.0,0.0,0.0,0.0,84461.0
0.517,6.117,0.517,6.117,0.0,0.0,10.292,10.292,0.0,0.0,0.0,0.0,84454.0
0.491,5.862,0.491,5.862,-4.96,-0.026,10.783,10.783,0.0,0.0,0.0,0.0,83748.0
0.487,5.912,0.487,5.912,-0.75,-0.004,11.27,11.27,0.0,0.0,0.0,0.0,82427.0
0.476,5.897,0.476,5.897,-2.26,-0.011,11.747,11.747,0.0,0.0,0.0,0.0,80770.0
0.462,5.828,0.462,5.828,-3.08,-0.015,12.208,12.208,0.0,0.0,0.0,0.0,79213.0
0.465,5.966,0.465,5.966,0.79,0.004,12.674,12.674,0.0,0.0,0.0,0.0,77993.0
0.469,6.068,0.469,6.068,0.79,0.004,13.143,13.143,0.0,0.0,0.0,0.0,77295.0
0.465,6.044,0.465,6.044,-0.78,-0.004,13.608,13.608,0.0,0.0,0.0,0.0,76997.0
0.495,6.423,0.495,6.423,6.3,0.029,14.103,14.103,0.0,0.0,0.0,0.0,77008.0
0.502,6.505,0.502,6.505,1.46,0.007,14.605,14.605,0.0,0.0,0.0,0.0,77146.0
0.466,6.035,0.466,6.035,-7.08,-0.036,15.071,15.071,0.0,0.0,0.0,0.0,77265.0
5.064,0.413,2.281,0.186,-0.51,-0.026,120.727,62.867,0.02,0.02,0.01,0.02,12248901.0
